New_Participant_ID,New_Organization_ID,New_Campaign_ID,Organization_Name,Organization_type_Oficial,Campaign_Name,Campaign_Type_Official,Campaign_Start_Date,Campaign_End_Date,Country,Segment,Engagement_Score,Mes_Nombre,Mes_Numero,Cantidad_Registrados,Cantidad_Asistentes
PAR010,ORG004,CMP094,FUNDACIÓN LUZ VERDE,Foundation,FUNDRAISING ACCELERATOR,Fundraising,2024-12-05,2024-12-18,Ecuador,Women Empowerment,64,diciembre,12,1,0
PAR014,ORG008,CMP114,RED MUJERES+,Community Org,IMPACT MEASUREMENT 101,Training,2024-08-17,2024-08-29,Ecuador,Health,62,agosto,8,1,0
PAR014,ORG001,CMP102,COMUNIDAD DATALATAM,Community Org,IMPACT MEASUREMENT 101,Training,2024-03-14,2024-03-20,Peru,Health,94,marzo,3,1,0
PAR014,ORG003,CMP098,FUNDACIÓN FUTURO,Foundation,IMPACT MEASUREMENT 101,Training,2024-02-11,2024-02-16,Ecuador,Youth,72,febrero,2,1,0
PAR004,ORG008,CMP086,RED MUJERES+,Community Org,FUNDRAISING ACCELERATOR,Fundraising,2024-06-19,2024-06-20,Peru,Education,75,junio,6,1,0
PAR007,ORG007,CMP112,PUENTES DIGITALES,NGO,IMPACT MEASUREMENT 101,Training,2024-07-17,2024-07-31,Chile,Education,47,julio,7,1,0
PAR002,ORG005,CMP068,INNOVACCIÓN,NGO,DIGITAL INCLUSION BOOTCAMP,Training,2024-09-22,2024-09-25,Chile,Health,86,septiembre,9,1,0
PAR011,ORG002,CMP036,EDU IMPACT,Social Enterprise,CLIMATE INNOVATION HUB,Outreach,2024-07-20,2024-07-28,Bolivia,Youth,57,julio,7,1,1
PAR005,ORG006,CMP133,JÓVENES POR EL CLIMA,Community Org,LATAM DATA SUMMIT,Outreach,2024-11-10,2024-11-19,Colombia,Education,64,noviembre,11,1,1
PAR016,ORG005,CMP035,INNOVACCIÓN,NGO,CLIMATE INNOVATION HUB,Outreach,2024-07-17,2024-07-23,Peru,Education,75,julio,7,1,0
PAR014,ORG004,CMP152,FUNDACIÓN LUZ VERDE,Foundation,NONPROFIT TECH CLINIC,Tech support,2024-08-04,2024-08-15,Colombia,Youth,77,agosto,8,1,0
PAR006,ORG007,CMP180,PUENTES DIGITALES,NGO,STEAM TEACHERS WORKSHOP,Training,2024-09-11,2024-09-11,Colombia,Youth,66,septiembre,9,1,1
PAR006,ORG005,CMP092,INNOVACCIÓN,NGO,FUNDRAISING ACCELERATOR,Fundraising,2024-11-20,2024-11-26,Guatemala,Youth,88,noviembre,11,1,0
PAR008,ORG009,CMP090,SALUD CONECTA,Social Enterprise,FUNDRAISING ACCELERATOR,Fundraising,2024-08-18,2024-08-25,Brazil,Women Empowerment,72,agosto,8,1,0
PAR010,ORG010,CMP161,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-11-26,2024-12-04,Peru,Health,58,noviembre,11,1,0
PAR016,ORG002,CMP083,EDU IMPACT,Social Enterprise,FUNDRAISING ACCELERATOR,Fundraising,2024-05-13,2024-05-26,Brazil,Climate,70,mayo,5,1,0
PAR012,ORG001,CMP111,COMUNIDAD DATALATAM,Community Org,IMPACT MEASUREMENT 101,Training,2024-07-14,2024-07-23,Argentina,Health,61,julio,7,1,1
PAR019,ORG006,CMP115,JÓVENES POR EL CLIMA,Community Org,IMPACT MEASUREMENT 101,Training,2024-11-22,2024-11-30,Guatemala,Women Empowerment,83,noviembre,11,1,1
PAR017,ORG005,CMP191,INNOVACCIÓN,NGO,WOMEN IN TECH TALKS,Webinar,2024-07-31,2024-08-14,Colombia,Women Empowerment,89,julio,7,1,0
PAR003,ORG009,CMP121,SALUD CONECTA,Social Enterprise,LATAM DATA SUMMIT,Outreach,2024-01-27,2024-01-31,Colombia,Women Empowerment,47,enero,1,1,1
PAR010,ORG004,CMP116,FUNDACIÓN LUZ VERDE,Foundation,IMPACT MEASUREMENT 101,Training,2024-12-07,2024-12-07,Costa Rica,Climate,94,diciembre,12,1,0
PAR011,ORG001,CMP056,COMUNIDAD DATALATAM,Community Org,COMMUNITY FUNDRAISING GALA,Fundraising,2024-11-08,2024-11-12,Guatemala,Education,89,noviembre,11,1,1
PAR008,ORG001,CMP110,COMUNIDAD DATALATAM,Community Org,IMPACT MEASUREMENT 101,Training,2024-06-25,2024-06-27,Mexico,Women Empowerment,99,junio,6,1,0
PAR015,ORG010,CMP142,TECH POR TODOS,NGO,NONPROFIT TECH CLINIC,Tech support,2024-03-30,2024-04-09,Bolivia,Education,66,marzo,3,1,0
PAR006,ORG006,CMP153,JÓVENES POR EL CLIMA,Community Org,NONPROFIT TECH CLINIC,Tech support,2024-08-13,2024-08-21,Costa Rica,Women Empowerment,47,agosto,8,1,1
PAR003,ORG004,CMP076,FUNDACIÓN LUZ VERDE,Foundation,FUNDRAISING ACCELERATOR,Fundraising,2024-01-29,2024-02-02,Chile,Youth,87,enero,1,1,1
PAR004,ORG005,CMP069,INNOVACCIÓN,NGO,DIGITAL INCLUSION BOOTCAMP,Training,2024-10-21,2024-11-03,Chile,Education,100,octubre,10,1,0
PAR013,ORG002,CMP184,EDU IMPACT,Social Enterprise,STEAM TEACHERS WORKSHOP,Training,2024-11-12,2024-11-21,Costa Rica,Health,,noviembre,11,1,0
PAR009,ORG004,CMP071,FUNDACIÓN LUZ VERDE,Foundation,DIGITAL INCLUSION BOOTCAMP,Training,2024-11-23,2024-11-30,Costa Rica,Health,53,noviembre,11,1,0
PAR015,ORG007,CMP194,PUENTES DIGITALES,NGO,WOMEN IN TECH TALKS,Webinar,2024-10-14,2024-10-21,Mexico,Health,,octubre,10,1,0
PAR016,ORG005,CMP192,INNOVACCIÓN,NGO,WOMEN IN TECH TALKS,Webinar,2024-09-16,2024-09-26,Argentina,Climate,70,septiembre,9,1,0
PAR001,ORG002,CMP070,EDU IMPACT,Social Enterprise,DIGITAL INCLUSION BOOTCAMP,Training,2024-11-23,2024-11-27,Costa Rica,Education,,noviembre,11,1,1
PAR008,ORG010,CMP047,TECH POR TODOS,NGO,COMMUNITY FUNDRAISING GALA,Fundraising,2024-05-25,2024-06-01,Peru,Women Empowerment,99,mayo,5,1,0
PAR014,ORG008,CMP134,RED MUJERES+,Community Org,LATAM DATA SUMMIT,Outreach,2024-11-11,2024-11-15,Colombia,Women Empowerment,52,noviembre,11,1,0
